Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
4/9/2014,75.760002,126.879997,34.919998,24.860001,331.809998,196.639999,216.929993,562.595398,62.41,42.490002,50.432858,1872.180054
4/10/2014,74.78286,123.639999,35.119999,24.08,317.109985,195.679993,204.190002,539.468872,59.16,41.34,47.818573,1833.079956
4/11/2014,74.230003,122.07,35.200001,23.91,311.730011,195.190002,203.779999,529.147217,58.529999,40.049999,46.672855,1815.689941
4/14/2014,74.525711,123.25,35.360001,23.68,315.910004,197.770004,198.089996,531.061951,58.889999,40.869999,47.368572,1830.609985
4/15/2014,73.994286,124.269997,35.68,23.459999,316.079987,197.020004,193.910004,534.971252,59.09,45.52,46.610001,1842.97998
4/16/2014,74.144287,126.040001,36.099998,24.219999,323.679993,196.399994,199.110001,555.016174,59.720001,44.419998,47.344284,1862.310059
4/17/2014,74.991432,127.919998,36.040001,23.959999,324.910004,190.009995,198.119995,534.632141,58.939999,45.009998,49.39143,1864.849976
4/21/2014,75.881432,127.82,36.060001,23.879999,330.869995,192.270004,204.380005,527.172668,61.240002,46.130001,49.784286,1871.890015
4/22/2014,75.957146,127.550003,36.290001,24.969999,329.320007,192.149994,218.639999,533.345703,63.029999,46.02,53.271427,1879.550049
4/23/2014,74.964287,130.630005,34.919998,24.190001,324.579987,191.729996,207.990005,525.497253,61.360001,45.950001,50.5,1875.390015
4/24/2014,81.110001,129.860001,34.5,24.549999,337.149994,190.220001,207.860001,523.722107,60.869999,44.82,49.152859,1878.609985
4/25/2014,81.705711,128.660004,34.490002,23.66,303.829987,189.630005,199.850006,514.766724,57.709999,41.610001,46.011429,1863.400024
4/28/2014,84.870003,127.040001,35.080002,23.02,296.579987,193.139999,198.509995,515.73407,56.139999,40.73,44.887142,1869.430054
4/29/2014,84.618568,128.369995,35.419998,24.98,300.380005,195.110001,206.919998,526.255188,58.150002,42.619999,45.695713,1878.329956
4/30/2014,84.298569,129.020004,35.700001,25.23,304.130005,196.470001,207.889999,525.218018,59.779999,38.970001,46.005714,1883.949951
5/1/2014,84.497147,128.460007,35.580002,25.389999,307.890015,193.529999,207.729996,529.895203,61.150002,39.09,48.074287,1883.680054
5/2/2014,84.654289,129.940002,35.630001,26.49,308.01001,191.440002,210.910004,526.484558,60.459999,39.02,48.664288,1881.140015
5/5/2014,85.851425,131.960007,35.759998,26.190001,310.049988,191.259995,216.610001,526.364868,61.220001,38.75,49.197144,1884.660034
5/6/2014,84.915718,130.830002,35.490002,25.68,297.380005,190.029999,207.279999,513.729553,58.529999,31.85,46.598572,1867.719971
5/7/2014,84.618568,130.350006,35.759998,25.15,292.709991,189.300003,201.350006,508.563751,57.389999,30.66,45.791428,1878.209961
5/8/2014,83.998573,130.570007,36.400002,24.32,288.320007,188.910004,178.589996,509.600891,56.759998,31.959999,45.951427,1875.630005
5/9/2014,83.648575,131.100006,36.439999,24.34,292.23999,190.080002,182.259995,517.309753,57.240002,32.049999,46.935715,1878.47998
5/12/2014,84.690002,132.600006,36.57,24.59,302.859985,192.570007,184.669998,528.469116,59.830002,33.939999,49.349998,1896.650024
5/13/2014,84.822861,133.449997,36.200001,24.68,304.640015,192.190002,190.160004,531.630432,59.830002,33.389999,49.591427,1897.449951
5/14/2014,84.83857,132.990005,36.389999,24.209999,297.619995,188.720001,190.619995,525.208069,59.23,32.849998,50.26857,1888.530029
5/15/2014,84.117142,131.210007,36.52,24.209999,295.190002,186.460007,188.589996,518.556274,57.919998,32.77,49.169998,1870.849976
5/16/2014,85.358574,130.809998,36.740002,23.9,297.700012,187.059998,191.559998,519.204529,58.02,32.259998,49.982857,1877.859985
5/19/2014,86.370003,131.350006,36.380001,24.16,296.76001,187,196.089996,527.411987,59.209999,32.07,52.07143,1885.079956
5/20/2014,86.387146,129.580002,35.5,23.84,301.190002,184.889999,195.300003,528.319519,58.560001,31.77,53.095715,1872.829956
5/21/2014,86.615715,130.960007,35.27,24.190001,305.01001,186.389999,199.449997,537.464417,60.490002,31.75,55.799999,1888.030029
5/22/2014,86.752853,131.839996,35.380001,24.780001,304.910004,185.679993,204.880005,543.567627,60.52,31.52,55.971428,1892.48999
5/23/2014,87.732857,132.410004,35.32,25.07,312.23999,185.940002,207.300003,551.186707,61.349998,30.5,57.478573,1900.530029
5/27/2014,89.375717,134.169998,35.209999,25.620001,310.820007,184.779999,211.559998,564.400452,63.48,30.51,56.972858,1911.910034
5/28/2014,89.144287,134.330002,35.34,25.709999,310.160004,183.080002,210.240005,560.142151,63.509998,33.77,57.32,1909.780029
5/29/2014,90.76857,135.139999,35.389999,26,313.779999,183.759995,210.240005,558.546509,63.830002,34,59.314285,1920.030029
5/30/2014,90.428574,135.25,35.470001,25.75,312.549988,184.360001,207.770004,558.357056,63.299999,32.439999,59.689999,1923.569946
6/2/2014,89.807144,135.899994,35.439999,26.129999,308.839996,185.690002,204.699997,552.41333,63.080002,31.75,60.294285,1924.969971
6/3/2014,91.077141,135.880005,35.200001,25.379999,307.190002,184.369995,204.940002,543.447937,62.869999,32.580002,59.652859,1924.23999
6/4/2014,92.117142,135.330002,35.049999,25.690001,306.779999,184.509995,203.990005,543.168701,63.34,32.900002,60.458572,1927.880005
6/5/2014,92.478569,136.820007,35.099998,25.440001,323.570007,185.979996,206.899994,552.383423,63.189999,33.889999,61.192856,1940.459961
